classifier_name,dataset_name,accuracy
ppca,sonar_rate_5,0.7594657375145178
mpk,sonar_rate_5,0.7927990708478513
mean,sonar_rate_10,0.7737514518002323
mice,sonar_rate_10,0.7931475029036005
rbfn,sonar_rate_10,0.0
genrbf,sonar_rate_10,0.5346109175377468
em,sonar_rate_10,0.7736353077816492
kpca,sonar_rate_10,0.8220673635307781
ppca,sonar_rate_10,0.7594657375145178
mpk,sonar_rate_10,0.7927990708478513
mean,sonar_rate_20,0.7737514518002323
mice,sonar_rate_20,0.7931475029036005
rbfn,sonar_rate_20,0.0
genrbf,sonar_rate_20,0.5346109175377468
em,sonar_rate_20,0.7736353077816492
kpca,sonar_rate_20,0.8220673635307781
ppca,sonar_rate_20,0.7594657375145178
mpk,sonar_rate_20,0.7927990708478513
mean,sonar_rate_30,0.7737514518002323
mice,sonar_rate_30,0.7931475029036005
rbfn,sonar_rate_30,0.0
genrbf,sonar_rate_30,0.5346109175377468
em,sonar_rate_30,0.7736353077816492
kpca,sonar_rate_30,0.8220673635307781
ppca,sonar_rate_30,0.7594657375145178
mpk,sonar_rate_30,0.7927990708478513
mean,sonar_rate_40,0.7737514518002323
mice,sonar_rate_40,0.7931475029036005
rbfn,sonar_rate_40,0.0
genrbf,sonar_rate_40,0.5346109175377468
em,sonar_rate_40,0.7736353077816492
kpca,sonar_rate_40,0.8220673635307781
ppca,sonar_rate_40,0.7594657375145178
mpk,sonar_rate_40,0.7927990708478513
mean,sonar_rate_50,0.7737514518002323
mice,sonar_rate_50,0.7931475029036005
rbfn,sonar_rate_50,0.0
genrbf,sonar_rate_50,0.5346109175377468
em,sonar_rate_50,0.7736353077816492
kpca,sonar_rate_50,0.8220673635307781
ppca,sonar_rate_50,0.7594657375145178
mpk,sonar_rate_50,0.7927990708478513
mean,sonar_rate_60,0.7737514518002323
mice,sonar_rate_60,0.7931475029036005
rbfn,sonar_rate_60,0.0
genrbf,sonar_rate_60,0.5346109175377468
em,sonar_rate_60,0.7736353077816492
kpca,sonar_rate_60,0.8220673635307781
ppca,sonar_rate_60,0.7594657375145178
mpk,sonar_rate_60,0.7927990708478513
mean,sonar_rate_70,0.7737514518002323
mice,sonar_rate_70,0.7931475029036005
rbfn,sonar_rate_70,0.0
genrbf,sonar_rate_70,0.5346109175377468
em,sonar_rate_70,0.7736353077816492
kpca,sonar_rate_70,0.8220673635307781
ppca,sonar_rate_70,0.7594657375145178
mpk,sonar_rate_70,0.7927990708478513
mean,sonar_rate_80,0.7737514518002323
mice,sonar_rate_80,0.7931475029036005
rbfn,sonar_rate_80,0.0
genrbf,sonar_rate_80,0.5346109175377468
em,sonar_rate_80,0.7736353077816492
kpca,sonar_rate_80,0.8220673635307781
ppca,sonar_rate_80,0.7594657375145178
mpk,sonar_rate_80,0.7927990708478513
mean,spam_rate_5,0.8154760893169051
mice,spam_rate_5,0.8154760893169051
rbfn,spam_rate_5,0.0
genrbf,spam_rate_5,0.8782854175518103
em,spam_rate_5,0.7250557050464995
kpca,spam_rate_5,0.8267719397630175
ppca,spam_rate_5,0.710278289194165
mpk,spam_rate_5,0.9467476278147572
mean,spam_rate_10,0.8154760893169051
mice,spam_rate_10,0.8154760893169051
rbfn,spam_rate_10,0.0
genrbf,spam_rate_10,0.8782854175518103
em,spam_rate_10,0.7250557050464995
kpca,spam_rate_10,0.8267719397630175
ppca,spam_rate_10,0.710278289194165
mpk,spam_rate_10,0.9467476278147572
mean,spam_rate_20,0.8154760893169051
mice,spam_rate_20,0.8154760893169051
rbfn,spam_rate_20,0.0
genrbf,spam_rate_20,0.8782854175518103
em,spam_rate_20,0.7250557050464995
kpca,spam_rate_20,0.8267719397630175
ppca,spam_rate_20,0.710278289194165
mpk,spam_rate_20,0.9467476278147572
mean,spam_rate_30,0.8154760893169051
mice,spam_rate_30,0.8154760893169051
rbfn,spam_rate_30,0.0
genrbf,spam_rate_30,0.8782854175518103
em,spam_rate_30,0.7250557050464995
kpca,spam_rate_30,0.8267719397630175
ppca,spam_rate_30,0.710278289194165
mpk,spam_rate_30,0.9467476278147572
mean,spam_rate_40,0.8154760893169051
mice,spam_rate_40,0.8154760893169051
rbfn,spam_rate_40,0.0
genrbf,spam_rate_40,0.8782854175518103
em,spam_rate_40,0.7250557050464995
kpca,spam_rate_40,0.8267719397630175
ppca,spam_rate_40,0.710278289194165
mpk,spam_rate_40,0.9467476278147572
mean,spam_rate_50,0.8154760893169051
mice,spam_rate_50,0.8154760893169051
rbfn,spam_rate_50,0.0
genrbf,spam_rate_50,0.8782854175518103
em,spam_rate_50,0.7250557050464995
kpca,spam_rate_50,0.8267719397630175
ppca,spam_rate_50,0.710278289194165
mpk,spam_rate_50,0.9467476278147572
mean,spam_rate_60,0.8154760893169051
mice,spam_rate_60,0.8154760893169051
rbfn,spam_rate_60,0.0
genrbf,spam_rate_60,0.8782854175518103
em,spam_rate_60,0.7250557050464995
kpca,spam_rate_60,0.8267719397630175
ppca,spam_rate_60,0.710278289194165
mpk,spam_rate_60,0.9467476278147572
mean,spam_rate_70,0.8154760893169051
mice,spam_rate_70,0.8154760893169051
rbfn,spam_rate_70,0.0
genrbf,spam_rate_70,0.8782854175518103
em,spam_rate_70,0.7250557050464995
kpca,spam_rate_70,0.8267719397630175
ppca,spam_rate_70,0.710278289194165
mpk,spam_rate_70,0.9467476278147572
mean,spam_rate_80,0.8154760893169051
mice,spam_rate_80,0.8154760893169051
rbfn,spam_rate_80,0.0
genrbf,spam_rate_80,0.8782854175518103
em,spam_rate_80,0.7250557050464995
kpca,spam_rate_80,0.8267719397630175
ppca,spam_rate_80,0.710278289194165
mpk,spam_rate_80,0.9467476278147572
mean,wine_rate_5,0.92011784212708
mice,wine_rate_5,0.9284289690294308
rbfn,wine_rate_5,0.0004615384615384
genrbf,wine_rate_5,0.9781436608041688
em,wine_rate_5,0.9002613844969503
kpca,wine_rate_5,0.943359744181915
mpk,wine_rate_5,0.9929198791970156
mean,wine_rate_10,0.92011784212708
mice,wine_rate_10,0.9284289690294308
rbfn,wine_rate_10,0.0004615384615384
genrbf,wine_rate_10,0.9781436608041688
em,wine_rate_10,0.9002613844969503
kpca,wine_rate_10,0.943359744181915
mpk,wine_rate_10,0.9929198791970156
mean,wine_rate_20,0.92011784212708
mice,wine_rate_20,0.9284289690294308
rbfn,wine_rate_20,0.0004615384615384
genrbf,wine_rate_20,0.9781436608041688
em,wine_rate_20,0.9002613844969503
kpca,wine_rate_20,0.943359744181915
mpk,wine_rate_20,0.9929198791970156
mean,wine_rate_30,0.92011784212708
mice,wine_rate_30,0.9284289690294308
rbfn,wine_rate_30,0.0004615384615384
genrbf,wine_rate_30,0.9781436608041688
em,wine_rate_30,0.9002613844969503
kpca,wine_rate_30,0.943359744181915
mpk,wine_rate_30,0.9929198791970156
mean,wine_rate_40,0.92011784212708
mice,wine_rate_40,0.9284289690294308
rbfn,wine_rate_40,0.0004615384615384
genrbf,wine_rate_40,0.9781436608041688
em,wine_rate_40,0.9002613844969503
kpca,wine_rate_40,0.943359744181915
mpk,wine_rate_40,0.9929198791970156
mean,wine_rate_50,0.92011784212708
mice,wine_rate_50,0.9284289690294308
rbfn,wine_rate_50,0.0004615384615384
genrbf,wine_rate_50,0.9781436608041688
em,wine_rate_50,0.9002613844969503
kpca,wine_rate_50,0.943359744181915
mpk,wine_rate_50,0.9929198791970156
mean,wine_rate_60,0.92011784212708
mice,wine_rate_60,0.9284289690294308
rbfn,wine_rate_60,0.0004615384615384
genrbf,wine_rate_60,0.9781436608041688
em,wine_rate_60,0.9002613844969503
kpca,wine_rate_60,0.943359744181915
mpk,wine_rate_60,0.9929198791970156
mean,wine_rate_70,0.92011784212708
mice,wine_rate_70,0.9284289690294308
